GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
1264,NY10086-6-13-1264,4,1161,2404,78.9,12.78,W,8,16,308,2178,W,BR,N,,,30,112,1,6,0,,,
OH60,OH13-135-34,4,1162,2823,79,13.11,R,8,15,293,2413,R,W,N,,,27,107,0,2,0,,,
1200,NY02003-1200,4,1163,2837,78.8,12.97,W,8,14,268,2290,W,W,N,,,28,97,1,0,0,,,
OH16,OH12-195-41,4,1164,3003,79,12.32,R,8,13,253,2298,R,W,N,,,28,102,1,0,0,,,
OH37,OH12-298-1,4,1165,2353,80.3,12.72,R,8,12,228,2329,R,W,A,,,28,127,1,2,1,,,
OH5,OH12-127-70,4,1166,2602,81.4,12.85,R,8,11,213,2102,R,W,N,,,28,112,1,2,0,,,
473,7730R,4,1167,2801,82.2,13.03,R,8,10,188,2185,R,W,N,,,27,107,1,1,0,,,
MSU25,MSU Line F2037,4,1168,2816,80.1,13.03,W,8,9,173,2226,W,W,N,,,30,122,1,0,0,,,
1308,NY10127-10-62-1308,4,1169,2679,79.5,13.15,W,8,8,148,2435,W,W,N,,,1,97,0,5,0,,,
1294,NY10108-2-47-1294,4,1170,2542,79,12.67,50W,8,7,133,2269,S,W,N,,,31,102,0,5,0,,,
MSU94,MI14W0251,4,1171,3009,78.6,12.53,W,8,6,108,NA,W,,,,,27,112,1,0,0,,,
35_check,Caledonia,4,1172,3113,79.5,13.07,W,8,5,93,checkPlots2015,W,W_BR/W,N,,,31,107,1,5,0,,,
MSU14,MSU Line F2014R,4,1173,3315,80.4,13.23,R,8,4,68,2152,R,W,N,,,29,112,1,0,0,,,
1334,NY11020-1-62-1334,4,1174,3280,78.1,13.84,R,8,3,53,134,R,,,,,31,107,0,1,0,,,
1232,NY04033-1232,4,1175,2839,80.3,12.96,W,8,2,28,2173,W,BR,N,,95,1,117,0,0,0,,,
264_check,Medina,4,1176,2816,79.7,13.19,W,8,1,13,checkPlots2015,W,W,N,,,31,117,0,5,0,,,
704,NY7388xD8006 - 49-704,5,1177,2818,80.1,13.03,W,9,1,12,2033,W,W,N,,,30,122,1,1,2,,,
1072,Caledonia Reselect-L-W,5,1178,2967,79.4,13.47,W,9,2,29,2431,W,W,N,,,29,117,1,5,0,,,
1341,NY11030-5-12-1341,5,1179,3045,80.2,13.15,R,9,3,52,146,R,,,,,30,112,2,5,0,,,
MSU26,MSU Line F2039,5,1180,3210,77.4,13.16,W,9,4,69,2437,W,W,N,10% B,,30,107,1,5,0,,,
657,NY03143-657,5,1181,3031,80.1,12.73,W,9,5,92,3322,W,BR,,,,31,117,0,0,0,,,
716_check,NY01016-AN-716,5,1182,2898,80.3,13.32,W,9,6,109,checkPlots2015,W,W,A,,,31,117,2,0,0,,,
OH68,OH13-152-31,5,1183,3060,79.4,12.92,R,9,7,132,2078,R,W,N,,,29,122,0,0,0,,,
264_check,Medina,5,1184,2653,79.6,12.71,W,9,8,149,checkPlots2015,W,W,N,,,30,112,0,5,0,,,
OH21,OH12-236-26,5,1185,2709,80.2,13.03,R,9,9,172,2278,R,W,N,B/G,,27,122,1,2,0,,,
618,Shirley,5,1186,2972,78.1,12.94,R,9,10,189,2202,R,W,N,,,28,102,0,0,0,,,
1263,NY10086-6-09-1263,5,1187,2677,78.5,12.89,W,9,11,212,2315,W,BR/W,N,,,31,107,1,2,0,,,
1342,NY11030-5-36-1342,5,1188,3142,77.8,13.19,W,9,12,229,147,W,,,,,1,107,1,5,0,,,
1314,NY11013-10-72-1314,5,1189,3310,79.5,13.42,R,9,13,252,108,R,,,,,1,107,0,1,0,,,
35_check,Caledonia,5,1190,3006,78.5,12.97,W,9,14,269,checkPlots2015,W,W_BR/W,N,,,31,112,1,5,0,,,
1300,NY10108-2-87-1300,5,1191,2594,78.9,12.88,50W,9,15,292,2261,S,W,N,,,30,107,0,5,0,,,
1295,NY10108-2-50-1295,5,1192,2557,78.3,13.24,50W,9,16,309,2434,S,W,N,,,1,102,0,6,0,,,
1275,NY10102-1-13-1275,5,1193,2570,80.1,12.99,50W,9,17,332,2471,S,W,N,,,31,107,0,6,0,,,
1103,NY09072-4-72-1103,5,1194,2827,79.6,13.3,W,9,18,349,2001,W,W,A/N,S/T,,31,122,2,2,0,,,
OH70,OH13-174-16,5,1195,2862,79.6,12.72,R,9,19,372,2133,R,W,N,,,29,112,0,0,0,,,
879,NY07085-879,5,1196,2888,78.6,13.41,50W,9,20,389,2440,S,W,A/N,"B/G, N/A, ht",,29,127,2,3,1,,,
MSU15,MSU Line F2016,5,1197,2473,74.8,13.34,W,9,21,412,2224,W,W,N,,,1,107,0,5,0,,,
OH30,OH12-293-29,5,1198,2933,81.1,13.45,R,9,22,429,2388,R,W,A,,,28,117,0,2,2,,,
1069,09068-5-19-1069,5,1199,2864,81.9,13.51,R,10,22,430,2374,R,W,N,,,30,137,0,5,0,,,
