Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Other
402,NY07011-138,3154,,1401,65.9,13,3670,0,72,1-Jun,,
428,TW528-001,3155,,1725,74.6,13.1,4514,0,90,2-Jun,,
117,94063,3156,,2104,75,13,5512,0,92,2-Jun,95,
201,94052,3157,,1712,77,12.8,4494,0,87,2-Jun,95,
589,NY03110-1-2-5-6-362,3158,,1177,76.3,12.5,3099,0,85,1-Jun,,
281,NYW103.226.9195,3159,,1684,77.9,13.7,4380,0,107,2-Jun,,
Cal,Caledonia,3160,,1836,70.1,13.2,4800,0,87,1-Jun,,
488,FS_801,3161,R,2029,78.1,13.6,5283,0,86,31-May,,
477,OH751,3162,R,1732,75.5,13.4,4519,0,91,31-May,95,
252,97083,3163,,1564,74.3,13.7,4068,0,100,6-Jun,95,
442,OH04-264-58,3164,R,1903,74.4,13.4,4965,0,87,1-Jun,90,
601,8080xCal-70-449,3165,,1605,76.7,13.6,4179,0,106,31-May,95,
424,MSU_Line_E5028,3166,,1606,76.2,12.9,4211,0,76,1-Jun,90,
461,Z03-0496,3167,R,1858,77.9,13.5,4843,0,80,29-May,,
Jen,Jensen,3168,,1592,73.9,13.3,4158,0,89,2-Jun,,
433,Branson,3169,R,2248,75.7,13.9,5835,0,85,29-May,,
572,NY01066-313,3170,,1686,72.2,13.1,4412,0,87,2-Jun,,
Rich,Richland,3171,,1716,75.5,12.9,4500,0,95,1-Jun,,
750,NY07104-20,3172,,1526,75.9,13.5,3977,0,91,1-Jun,,
31,Houser,3173,,1750,74,13.5,4561,0,101,1-Jun,,
496,NY01066-118,3174,,1552,74.3,13.5,4045,0,85,2-Jun,,
776,07068-1-4,3175,,1575,76.6,13.8,4092,1,97,31-May,,
708,7388xD8006 - 124,3176,,1636,74.9,12.9,4290,0,91,2-Jun,,
257,99021,3177,,1919,75.9,13.1,5022,0,90,2-Jun,,
671,8080x7388 - 173,3178,,1534,76.4,13.2,4010,0,85,1-Jun,,
268,E0028,3179,,1483,74,12.6,3900,0,83,30-May,95,
526,NY99028-199,3180,,1656,74.3,13.1,4334,1,89,2-Jun,,
628,OH05-200-74,3181,R,2212,74.2,13.4,5771,0,92,30-May,,
500,NY99049-128,3182,,1429,75.3,12.9,3747,0,87,3-Jun,95,
544,NY03015-231,3183,,1413,76,12.9,3705,0,76,2-Jun,95,
263,CaledoniaResel.L,3184,,1872,74.5,13.1,4899,0,96,30-May,95,
169,96030,3185,,1785,74.4,12.5,4699,0,86,1-Jun,,
Jen,Jensen,3186,,1629,74.8,12.9,4272,0,87,2-Jun,95,
