Source,Entry,CC,AN,PLOT,PlotYield,Moisture,TW,Lodging,HD,Ht,WH,SproutMn,Pedigree,Rogueing
9594,94052,,,6193,2010,16.1,73.4,,,80,100,,Pio2737w/Harus(18),9
9522,94046,,,6194,1992,15.7,72,,,90,100,,Diana/Harus(25),3
9441,94081,,,6195,1885,15.7,70.8,,,90,100,,Pio2737w/NY80095-6(25),22
9605,94081,,,6196,2013,15.8,73.9,,,90,100,,Pio2737w/NY80095-6(25),17
9525,94064,,,6197,2423,16,73.2,,,85,100,,NY75087-39/Diana(19),0
9573,94070,,,6198,1989,15.9,71.1,,,80,100,,Diana/NY80095-6(36),1
9548,94070,,,6199,2213,15.8,71.4,,,85,100,,Diana/NY80095-6(36),47
9640,96155,,,6200,2326,15.3,73.2,,,90,100,,NY75087-39 / Pio 2510 (19),9
9495,94025,,,6201,2187,15.4,73.4,,,80,100,,Pio2737w/cayuga(22),1
9603,94025,,,6202,1947,15.9,74.9,,,80,100,,Pio2737w/cayuga(22),4
9540,SUPERIOR,,,6203,2337,16.4,72.9,,,95,100,,check,15
9584,96049,,,6204,2334,15.9,72.8,,,90,100,,Harus / Karena (16),17
9521,96018,,,6205,2288,16.2,74.3,,,80,100,,Cayuga / Harus (19),31
9679,96153,,,6206,2275,15.1,71.4,,,80,100,,NY75087-39 / Geneva Resel (22),2
9665,96056,,,6207,2368,15.9,73.1,,,85,100,,Karena / Geneva Resel (13),8
9466,96001,,,6208,2528,15,71.4,,,90,100,,"Presto SC Bulk: GH F2 bulk of 94021,94033,94041,94049,94078,94083,",9
9456,94024,,,6209,1907,15.5,73.9,,,85,100,,Diana/Cayuga(10),12
9628,94070,,,6210,2474,15.5,72.3,,,85,100,,Diana/NY80095-6(36),0
9671,94070,,,6211,2465,16.5,71.7,,,85,100,,Diana/NY80095-6(36),4
9462,94077,,,6212,2477,15.5,71.5,,,85,100,,Diana/NY80095-6(30),4
9527,94032,,,6213,2183,14.5,71.4,,,80,100,,Pio2737w/Geneva(19),3
9440,94063,,,6214,2180,14.7,72.2,,,85,100,,Pio2737w/NY75087-39(7),1
9677,96047,,,6215,2219,15.3,74.8,,,65,100,,Harus / Geneva (28),16
9421,96004,,,6216,2184,13.7,73.3,,,85,93,,AC Ron / Geneva Resel (38),5
9463,94032,,,6217,1958,12.1,74.8,,,80,100,,Pio2737w/Geneva(19),85
9601,96152,,,6218,2161,12,74.4,,,85,95,,NY75087-39 / Geneva (22),6
9688,94025,,,6219,2174,14.2,75.4,,,83,100,,Pio2737w/cayuga(22),0
9547,94052,,,6220,2083,14.6,74.6,,,87,90,,Pio2737w/Harus(18),6
9518,96152,,,6221,2192,13.8,74.2,,,90,95,,NY75087-39 / Geneva (22),8
9696,94032,,,6222,2443,14.2,74,,,75,100,,Pio2737w/Geneva(19),14
9599,96002,,,6223,2218,14.6,75.6,,,80,100,,AC Ron / Cayuga (35),12
9538,94077,,,6224,1975,14,73.7,,,90,100,,Diana/NY80095-6(30),0
9689,RICHLAND,,,6225,2347,14.1,74.8,,,100,100,,check,28
9598,96056,,,6226,2247,14.4,73.9,,,85,93,,Karena / Geneva Resel (13),3
9574,94052,,,6227,2220,14.4,73.1,,,95,100,,Pio2737w/Harus(18),5
9435,96148,,,6228,2341,14.4,73.6,,,90,100,,NY75087-39 / Batavia (26),10
9632,96002,,,6229,2177,14.2,76.1,,,90,100,,AC Ron / Cayuga (35),8
9493,94042,,,6230,2253,14,75.1,,,100,100,,Diana/Geneva(21),7
,2007 Group,,,,,,,,,,,,,
481,99060,,,6231,2075,14.6,75.2,,,90,100,,NY87048W-7387/Cayuga (14s),33
161,96193,,,6232,2030,14,73.6,,,100,100,,94056(M-6/Harus)/ Geneva Resel (6),30
479,99060,,,6233,-,,,,,85,100,,NY87048W-7387/Cayuga (14s),14
492,99060,,,6234,-,,,,,95,100,,NY87048W-7387/Cayuga (14s),10
203,96030,,,6235,-,,,,,95,100,,Diana / Geneva (35),18
490,99060,,,6236,1925,14.1,77.3,,,85,100,,NY87048W-7387/Cayuga (14s),9
281,97067,,,6237,2120,13.7,74.9,,,90,100,,Harus x P89204A8-1-59,7
322,99048,,,6238,1826,14.1,74.9,,,80,100,,Harus/NY85020-395 (31),158
451,99012,,,6239,-,,,,,100,100,,AC-RON/89118RC1-X-9-3-3 - bagged with 99011,47
489,99060,,,6240,2084,14.5,75.5,,,80,100,,NY87048W-7387/Cayuga (14s),30
319,99048,,,6241,1953,14.2,75.7,,,85,100,,Harus/NY85020-395 (31),5
177,99045,,,6242,1901,14,73.1,,,90,100,,Geneva/Pio25W33 (26+9s),4
456,99012,,,6243,-,,,,,95,100,,AC-RON/89118RC1-X-9-3-3 - bagged with 99011,20
150,96043,,,6244,2126,13.7,74,,,97,100,,Harus / AC Ron (7),38
286,99043,,,6245,2220,14.4,73.4,,,90,100,,Geneva/Mendon (16s),8
nyssip,SUPERIOR,,,6246,1877,14.3,73.8,,,95,100,,check,22
307,99019,,,6247,1838,13.8,75.9,,,85,100,,CAH-106/Harus (12),3
420,99024,,,6248,-,,,,,115,100,,Caledonia/89118RC1 (22),1
nyssip,CALEDONIA,,,6249,2079,14.3,72.6,,,80,100,,check,21
302,99025,,,6250,1991,14.7,75.9,,,85,100,,Caledonia/Geneva (12+7),34
388,99068,,,6251,2256,14.7,75.6,,,90,100,,NY87048W-7387/P25W33 (22s),0
352,99021,,,6252,1922,14.3,74.4,,,95,100,,CAH-106/Mendon (8),0
389,99068,,,6253,1931,14,74.2,,,90,100,,NY87048W-7387/P25W33 (22s),8
271,96016,,,6254,1981,14.6,74.6,,,88,100,,Cayuga / Batavia (25),12
175,99045,,,6255,2234,14.9,75.3,,,95,100,,Geneva/Pio25W33 (26+9s),15
179,99010,,,6256,-,,,,,97,100,,89118RC1-X-9-3-3/Harus (27),0
378,99059,,,6257,2050,14.4,73.1,,,80,100,,NY87048W-7387/Caledonia (13+18+20),13
370,99046,,,6258,-,,,,,80,95,,Harus/KY86C-61-8 (10+21),225
143,99029,,,6259,1644,14.1,75.1,,,95,100,,Caledonia/Pio25W33 (7),10
390,99068,,,6260,2094,14.2,73.2,,,95,100,,NY87048W-7387/P25W33 (22s),1
241,99020,,,6261,-,,,,,107,100,,CAH-106/KY86C-61-8 (13),0
375,99059,,,6262,2018,14.1,75.1,,,93,100,,NY87048W-7387/Caledonia (13+18+20),30
261,97089,,,6263,1743,13.4,73.2,,,86,100,,P89204A8-1-59 x Gen. Res.,2
414,99024,,,6264,-,,,,,105,100,,Caledonia/89118RC1 (22),0
202,96030,,,6265,1904,14.2,73.2,,,92,100,,Diana / Geneva (35),23
457,99012,,,6266,1768,14.6,74.3,,,85,100,,AC-RON/89118RC1-X-9-3-3 - bagged with 99011,13
348,99021,,,6267,1617,13.5,73.3,,,78,100,,CAH-106/Mendon (8),30
170,99013,,,6268,1774,13.9,74.8,,,97,100,,AC-RON/96005-1-1 (3),5
274,96016,,,6269,-,,,,,105,100,,Cayuga / Batavia (25),6
169,99013,,,6270,2007,14.4,73.5,,,105,100,,AC-RON/96005-1-1 (3),5
174,99015,,,6271,-,,,,,103,100,,AC-RON/KY86C-61-8 (11+17),3
415,99024,,,6272,-,,,,,103,100,,Caledonia/89118RC1 (22),41
284,97067,,,6273,2070,14.1,74,,,80,100,,Harus x P89204A8-1-59,37
168,97072,,,6274,1697,13.9,74.5,,,97,100,,Karena x P89204A8-1-59,11
295,96023,,,6275,2271,14.3,74.4,,,90,100,,Coker 8427 / Geneva (29),0
