GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
MSU21,MSU Line F2028R,4,2153,2235,81.8,13.55,R,7,21,414,2084,R,W,N,,,27,91,1,,,,,
MSU104,MI14W0466,4,2154,2378,79.4,12.8,W,7,22,427,NA,W,,,,,31,85,2,,,,,
MSU37,MI14R0342,4,2155,2436,80.8,13.63,50W,8,22,428,2361,S,W,N,,,29,92,1,,,,,
MSU31,MI14R0160,4,2156,2521,80.7,13.49,R,8,21,413,2017,R,W,N,,,29,93,1,,,,,
1311,NY11013-10-6-1311,4,2157,2692,80.3,13.98,R,8,20,388,104,R,,,,,31,98,0,,,,,
MSU6,MSU Line F1049,4,2158,2710,80.5,12.95,80W,8,19,373,2420,W,W,N,10% BR,,27,98,2,,,,,5
1288,NY10108-2-11-1288,4,2159,2498,80.8,12.54,50W,8,18,348,2157,S,W,N,,,31,90,1,,,,,
MSU99,MI14R0281,4,2160,2164,80,12.46,R,8,17,333,NA,R,,,,,27,98,2,,,,100,
1312,NY11013-10-15-1312,4,2161,2905,81,13.15,R,8,16,308,105,R,,,,,30,102,1,,,,,
MSU95,MI14W0253,4,2162,2879,80.7,12.6,W,8,15,293,NA,W,,,,,29,110,1,,,,,
264_check,Medina,4,2163,2581,81.4,12.72,W,8,14,268,checkPlots2015,W,W,N,,,30,104,0,,,,,
1322,NY11014-9-85-1322,4,2164,2529,80.5,12.75,W,8,13,253,117,W,,,,,30,100,1,,,,,
818,NY05152-818,4,2165,2585,81.5,12.68,R,8,12,228,2188,R,W,N,,,30,102,2,,,,,
904,NY09090-60-904,4,2166,2758,81.7,12.91,W,8,11,213,2148,W,W,N,,,31,98,2,,,,,
35_check,Caledonia,4,2167,2841,80.8,12.84,W,8,10,188,checkPlots2015,W,W_BR/W,N,,,31,90,2,,,,,
842,NY05158-842,4,2168,2467,82.9,12.67,W,8,9,173,2048,W,BR,N,,,29,86,0,,,Small awn,100,100
1356,NY11018-08-13-1356,4,2169,2465,79.7,13.39,R,8,8,148,162,R,,,,,28,102,2,,,,,
MSU72,MI14W0052,4,2170,2418,81.8,12.76,50W,8,7,133,NA,W,,,,,26,120,2,,,,,
MSU24,MSU Line F2035,4,2171,2978,78,12.85,W,8,6,108,2060,W,W,N,,,30,104,2,,,,,
1184,NY01003-1184,4,2172,2980,80.5,13.09,W,8,5,93,2031,W,W,N,,,31,100,2,,,Small awn,100,
MSU103,MI14W0462,4,2173,2748,81,13.55,W,8,4,68,NA,W,,,,,30,100,1,,,,,100
1188,NY01019-1188,4,2174,2782,80.5,13.28,W,8,3,53,2332,W,W,N,,,2,110,2,,,,,
