GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
MSU61,MI14R0717,5,3187,2113,79.4,14.83,R,9,11,212,2390,R,W,A,10% G,,29,86,1,0,0,,,
OH16,OH12-195-41,5,3188,2091,78.1,13.97,R,9,12,229,2298,R,W,N,,,29,74,1,0,1,,,
814,NY02008-814,5,3189,1969,76.6,15.3,W,9,13,252,2154,W,W,N,,95,3,90,1,0,2,,,
MSU4,MSU Line F1029,5,3190,2292,77.1,15.15,W,9,14,269,2255,W,W,N,,,30,80,2,0,4,,,
OH30,OH12-293-29,5,3191,2187,80.3,14.98,R,9,15,292,2388,R,W,A,,,29,84,0,0,1,,,
440,IL04-8445,5,3192,1938,80.3,14.96,R,9,16,309,2166,R,W,N,,,29,74,0,0,1,,,
OH42,OH13-312-55,5,3193,2555,78.5,14.83,R,9,17,332,2417,R,W,N,,,29,80,2,0,0,,,
OH5,OH12-127-70,5,3194,2229,79.7,14.98,R,9,18,349,2102,R,W,N,,,28,88,2,0,3,,,
1324,NY11018-5-21-1324,5,3195,2602,78.1,14.69,R,9,19,372,120,R,,,,,30,92,2,0,0,,,
OH72,OH13-159-34,5,3196,2350,78.2,15.06,R,9,20,389,2205,R,W,N,10% G 10% BR,,29,86,0,0,0,,,
1287,NY10102-1-78-1287,5,3197,2199,78.5,14.75,W,9,21,412,2333,W,W,N,,95,31,84,1,0,0,,,
1183,NY01003-1183,5,3198,2490,78.5,14.56,W,9,22,429,2172,W,W,A,,,1,78,0,0,0,,,
808,NY02008-808,5,3199,2574,78.3,15.44,90W,10,22,430,2461,W,W,N,,,2,98,1,1,0,,,
OH22,OH12-238-62,5,3200,2200,81.3,14.75,R,10,21,411,2445,R,W,N,,,29,92,0,0,1,,,
264_check,Medina,5,3201,2343,77.7,14.92,W,10,20,390,checkPlots2015,W,W,N,,,31,90,1,0,0,,,
MSU81,MI14R0115,5,3202,2396,78.2,15.42,R,10,19,371,NA,R,,,,,28,90,1,0,0,,,
OH24,OH12-299-41,5,3203,2033,81.3,14.77,R,10,18,350,2216,R,W,A,,,28,82,1,0,0,,,
1283,NY10102-1-50-1283,5,3204,2065,77.8,15.39,50R,10,17,331,2019,S,W,N,,,31,84,0,3,0,,,
MSU98,MI14R0278,5,3205,1614,75.8,15.31,R,10,16,310,NA,R,,,,,30,80,2,0,4,,,
MSU68,MI14W0014,5,3206,2001,73.7,15.18,W,10,15,291,NA,W,,,,,30,88,2,0,4,,,
MSU52,MI14R0689,5,3207,1643,77.1,15.34,R,10,14,270,2231,R,W,A,,,29,90,0,0,6,,,
1188,NY01019-1188,5,3208,2287,77.3,15.23,W,10,13,251,2332,W,W,N,,,2,88,1,0,2,,,
1328,NY11019-1-67-1328,5,3209,2007,77.1,15.81,R,10,12,230,128,R,,,,,1,84,1,0,1,,,
1336,NY11021-2-61-1336,5,3210,2228,75.6,14.97,R,10,11,211,136,R,,,,95,30,76,1,0,0,,,
1292,NY10108-2-30-1292,5,3211,2100,78.1,14.57,W,10,10,190,2470,W,W,N,,90,31,84,1,0,0,,,
1309,NY10127-10-87-1309,5,3212,2093,79.2,14.09,W,10,9,171,2367,W,W,N,,,31,80,0,0,0,,,
MSU6,MSU Line F1049,5,3213,2348,78.6,14.23,80W,10,8,150,2420,W,W,N,10% BR,,29,96,2,0,1,,,
1327,NY11019-1-43-1327,5,3214,2177,78.6,14.51,R,10,7,131,126,R,,,,,30,78,1,0,0,,,
602_check,OH02-12686,5,3215,2626,79.3,14.66,R,10,6,110,checkPlots2015,R,W,N,,,31,86,0,0,0,,,
OH50,OH13-321-18,5,3216,2300,78.2,13.57,R,10,5,91,2162,R,W,A/N,,,26,88,1,0,1,,,
825,NY05152-825,5,3217,1740,80.1,13.7,R,10,4,70,2094,R,W,N,,85,29,76,2,1,0,,,
1064,VA08W-176,5,3218,2527,80.9,15.37,R,10,3,51,2108,R,W,N,,,29,78,1,0,0,,,
MSU2,MSU Line F1014,5,3219,1112,75.4,15.09,80W,10,2,30,2409,W,W,N,,70,31,72,1,0,0,,,
MSU103,MI14W0462,5,3220,2182,79,14.15,W,10,1,11,NA,W,,,,,30,82,2,0,0,,,
444,OH05-248-38,6,3221,2074,79.2,14.16,R,11,1,10,2218,R,BR,N,,,29,78,0,0,1,,,
