Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,256,99026,2134,1427,1483,3924,5921,3553,5923,3551,74.3,15.8,0,31,3,3,1,2,4,2.6,2.85,,13-Jul,
,237,99013,2135,1929,2016,5334,5783,5101,5743,5141,74.2,16.3,0,31,2,3,0,3,5,2.6,2.85,,13-Jul,
,53,93237SP,2136,2134,2230,5901,5754,5696,5815,5636,74.4,16.3,0,30,5,2,1,0,0,1.6,1.85,,13-Jul,
,190,94024,2137,2109,2195,5808,5734,5624,5698,5659,73.7,15.9,0,4,5,5,5,5,5,5,5.25,,13-Jul,
,316,96025,2138,2319,2418,6398,5685,6263,5492,6456,73.4,16.1,0,3,0,0,0,0,0,0,0.25,,13-Jul,
,387,NY03023,2139,2158,2250,5954,5178,6325,5206,6297,72.1,16.1,0,4,0,1,2,3,4,2,2.25,,13-Jul,
,255,99019,2140,2251,2337,6184,4591,7142,4582,7152,73.4,15.7,0,4,0,1,0,0,2,0.6,0.85,,13-Jul,
,Superior,Superior,2141,2057,2147,5681,4844,6386,4651,6580,73.1,16.2,0,3,0,5,3,6,0,2.8,3.05,,13-Jul,
,148,96063,2142,1867,1947,5152,4663,6039,4365,6337,71.6,16.1,0,4,0,0,0,1,1,0.4,0.65,,13-Jul,
D,2,DawsonGoldenChaff,2143,437,450,1191,5051,1689,4789,1952,72.4,14.9,4,4,4,3,4,3,1,3,3.25,,13-Jul,bird damage
D,22,Cornell595,2144,210,215,569,5114,1004,4849,1270,NA,14.1,4,4,1,0,0,2,1,0.8,1.05,,13-Jul,bird damage
,128,96147,2145,2144,2250,5954,4515,6988,4127,7376,73.7,16.7,0,31,2,5,4,3,5,3.8,4.05,,13-Jul,
D,1,American Banner,2146,1090,1130,2990,4756,3784,4462,4078,75.5,15.5,2,3,4,5,4,5,4,4.4,4.65,,13-Jul,
D,30,Susquehanna,2147,2110,2202,5826,4438,6938,4193,7183,72.3,16.2,0,4,1,2,1,1,2,1.4,1.65,,13-Jul,
,273,NY03179FHB-12,2148,2105,2197,5813,4472,6891,4797,6566,71.6,16.2,0,30,4,4,0,4,5,3.4,3.65,,13-Jul,
,236,99013,2149,2105,2190,5795,4587,6757,5514,5830,74.5,15.9,0,31,5,6,5,5,5,5.2,5.45,,13-Jul,
,Richland,Richland,2150,1969,2040,5398,5059,5889,5508,5439,75.1,15.5,0,1,3,3,4,1,4,3,3.25,,13-Jul,
