Source,Entry,PLOT,KC,sort,Sprout Score,,,,,,mn,harv,mist ,score,
512,NY03010-157,1152,,,43345,4,3,3,4,5,3.80,7-Jul,12-Jul,16-Jul,
557,NY01062-272,1153,,,30244,3,0,2,4,4,2.60,7-Jul,12-Jul,16-Jul,
134,96056,1154,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
Cal,Caledonia,1155,,,43454,4,3,4,5,4,4.00,7-Jul,12-Jul,16-Jul,
499,NY99049-126,1156,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
674,8080xCal - 122,1158,,,10000,1,0,0,0,0,0.20,7-Jul,12-Jul,16-Jul,
614,NY05064&66-1,1159,,,60454,6,0,4,5,4,3.80,7-Jul,12-Jul,16-Jul,
429,TWF507-001,1160,,,23000,2,3,0,0,0,1.00,7-Jul,12-Jul,16-Jul,
7088,NY7088,1163,,,44431,4,4,4,3,1,3.20,7-Jul,12-Jul,16-Jul,
685,Whatford/7388 - 96,1165,,,55344,5,5,3,4,4,4.20,7-Jul,12-Jul,16-Jul,
418,MSU_Line_E5011A,1169,,,45455,4,5,4,5,5,4.60,7-Jul,12-Jul,16-Jul,
562,NY99025-281,1177,,,55575,5,5,5,7,5,5.40,7-Jul,12-Jul,16-Jul,
136,94025,1178,,,24344,2,4,3,4,4,3.40,7-Jul,12-Jul,16-Jul,
568,NY03015-308,1180,,,35312,3,5,3,1,2,2.80,7-Jul,12-Jul,16-Jul,
554,NY99025-261,1181,,,33452,3,3,4,5,2,3.40,7-Jul,12-Jul,16-Jul,
680,Whatford/7388 - 32,1183,,,30033,3,0,0,3,3,1.80,7-Jul,12-Jul,16-Jul,
538,NY03015-224,1184,,,44324,4,4,3,2,4,3.40,7-Jul,12-Jul,16-Jul,
542,NY01069-228,1186,,,34414,3,4,4,1,4,3.20,7-Jul,12-Jul,16-Jul,
604,E6019A,1187,,,45424,4,5,4,2,4,3.80,7-Jul,12-Jul,16-Jul,
7088,NY7088,1188,,,42123,4,2,1,2,3,2.40,7-Jul,12-Jul,16-Jul,
563,NY01066-286,1190,,,23444,2,3,4,4,4,3.40,7-Jul,12-Jul,16-Jul,
577,NY99069-326,1191,,,14445,1,4,4,4,5,3.60,7-Jul,12-Jul,16-Jul,
427,TW531-003,1193,,,00211,0,0,2,1,1,0.80,7-Jul,12-Jul,16-Jul,
Rich,Richland,1195,,,14325,1,4,3,2,5,3.00,7-Jul,12-Jul,16-Jul,
523,NY03093&94-190,1200,,,43436,4,3,4,3,6,4.00,7-Jul,12-Jul,16-Jul,
549,99068-248,1202,,,21322,2,1,3,2,2,2.00,7-Jul,12-Jul,16-Jul,
558,NY01066-273,1203,,,30214,3,0,2,1,4,2.00,7-Jul,12-Jul,16-Jul,
550,NY99069-249,1204,,,43531,4,3,5,3,1,3.20,7-Jul,12-Jul,16-Jul,
57,SUPERIOR,1205,,,00214,0,0,2,1,4,1.40,7-Jul,12-Jul,16-Jul,
535,NY01008-218,1206,,,44442,4,4,4,4,2,3.60,7-Jul,12-Jul,16-Jul,
273,NY03179FHB.12,1207,,,43404,4,3,4,0,4,3.00,7-Jul,12-Jul,16-Jul,
574,NY03100-321,1208,,,44553,4,4,5,5,3,4.20,7-Jul,12-Jul,16-Jul,
710,7388xD8006 - 239,1210,,,01663,0,1,6,6,3,3.20,7-Jul,12-Jul,16-Jul,
714,NY99045-WC,1211,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
601,8080xCal-70-449,1212,,,13535,1,3,5,3,5,3.40,7-Jul,12-Jul,16-Jul,
693,Whatford/7388 - 39,1213,,,21334,2,1,3,3,4,2.60,7-Jul,12-Jul,16-Jul,
Cal,Caledonia,1214,,,25355,2,5,3,5,5,4.00,7-Jul,12-Jul,16-Jul,
610,SE00 10303-35,1215,,,44442,4,4,4,4,2,3.60,7-Jul,12-Jul,16-Jul,
492,NY01067-113,1217,,,41443,4,1,4,4,3,3.20,7-Jul,12-Jul,16-Jul,
421,MSU_Line_E5038,1218,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
534,NY01005-216,1219,,,44056,4,4,0,5,6,3.80,7-Jul,12-Jul,16-Jul,
596,8080x7388-76-417,1220,,,13402,1,3,4,0,2,2.00,7-Jul,12-Jul,16-Jul,
Jen,Jensen,1221,,,41344,4,1,3,4,4,3.20,7-Jul,12-Jul,16-Jul,
645,NY03087&88,1222,,,55646,5,5,6,4,6,5.20,7-Jul,12-Jul,16-Jul,
564,NY01003-287,1225,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
393,NY03086,1226,,,41444,4,1,4,4,4,3.40,7-Jul,12-Jul,16-Jul,
717,NY01002-AN,1228,,,14552,1,4,5,5,2,3.40,7-Jul,12-Jul,16-Jul,
743,NY07103-106,1231,,,64433,6,4,4,3,3,4.00,7-Jul,12-Jul,16-Jul,
36,Batavia,1233,,,43413,4,3,4,1,3,3.00,7-Jul,12-Jul,16-Jul,
509,NY99069-148,1234,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
539,NY03100-225,1235,,,24450,2,4,4,5,0,3.00,7-Jul,12-Jul,16-Jul,
150,94046,1236,,,43444,4,3,4,4,4,3.80,7-Jul,12-Jul,16-Jul,
608,TWF507-013,1238,,,00314,0,0,3,1,4,1.60,7-Jul,12-Jul,16-Jul,
Jen,Jensen,1239,,,20401,2,0,4,0,1,1.40,7-Jul,12-Jul,16-Jul,
394,NY03089,1240,,,13544,1,3,5,4,4,3.40,7-Jul,12-Jul,16-Jul,
