Source,Entry,PLOT,Sprout Score,,,,,,,Harvested,Other
415,NY07029-152,3252,87779,8,7,7,7,9,7.6,7/2/2010,
251,99069,3253,51635,5,1,6,3,5,4,7/2/2010,
525,NY99048-194,3254,2656,0,2,6,5,6,3.8,7/2/2010,
592,NY01003-371,3255,77865,7,7,8,6,5,6.6,7/2/2010,
Jen,Jensen,3256,53561,5,3,5,6,1,4,7/2/2010,
538,NY03015-224,3257,536,0,0,5,3,6,2.8,7/2/2010,
583,NY01023-347,3258,35534,3,5,5,3,4,4,7/2/2010,
536,NY99069-222,3259,3615,0,3,6,1,5,3,7/2/2010,
Rich,Richland,3261,23356,2,3,3,5,6,3.8,7/2/2010,
553,NY03010-252,3262,75585,7,5,5,8,5,6,7/2/2010,
NY,NY7088,3263,10220,1,0,2,2,0,1,7/2/2010,
352,99011,3265,54555,5,4,5,5,5,4.8,7/2/2010,
411,NY07021-148,3266,75547,7,5,5,4,7,5.6,7/2/2010,
261,99062,3268,42120,4,2,1,2,0,1.8,7/2/2010,
Jen,Jensen,3270,36052,3,6,0,5,2,3.2,7/2/2010,
535,NY01008-218,3271,65553,6,5,5,5,3,4.8,7/2/2010,
565,NY99069-289,3272,37655,3,7,6,5,5,5.2,7/2/2010,
493,NY99045-114,3273,66564,6,6,5,6,4,5.4,7/2/2010,
Cald,Caledonia,3274,66628,6,6,6,2,8,5.6,7/2/2010,
593,NY05143-2-397,3275,33342,3,3,3,4,2,3,7/2/2010,
571,NY99069-312,3278,1000,0,1,0,0,0,0.2,7/2/2010,
Jen,Jensen,3292,41001,4,1,0,0,1,1.2,7/2/2010,
425,TW412-033,3295,56456,5,6,4,5,6,5.2,7/2/2010,
94,W105-146,3298,31512,3,1,5,1,2,2.4,7/2/2010,
NY,NY7088,3299,12354,1,2,3,5,4,3,7/2/2010,
47,94032,3301,2211,0,2,2,1,1,1.2,7/2/2010,
489,FS 430W,3304,45355,4,5,3,5,5,4.4,7/2/2010,
511,NY03082-156,3305,56655,5,6,6,5,5,5.4,7/2/2010,
276,NY103-72-7179,3307,51664,5,1,6,6,4,4.4,7/2/2010,
410,NY07020-147,3308,8660,0,8,6,6,0,4,7/2/2010,
430,Ajax,3309,85626,8,5,6,2,6,5.4,7/2/2010,
429,TWF507-001,3310,1114,0,1,1,1,4,1.4,7/2/2010,
201,94052,3313,84509,8,4,5,0,9,5.2,7/2/2010,
Jen,Jensen,3314,43325,4,3,3,2,5,3.4,7/2/2010,
517,NY99028-170,3315,6355,0,6,3,5,5,3.8,7/2/2010,
551,NY99045-250,3316,30665,3,0,6,6,5,4,7/2/2010,
537,NY03015-223,3317,57547,5,7,5,4,7,5.6,7/2/2010,
544,NY03015-231,3319,64677,6,4,6,7,7,6,7/2/2010,
Cald,Caledonia,3320,66558,6,6,5,5,8,6,7/2/2010,
453,B040798,3021,missing,,,,,,,5-Jul,red
480,SW80,3061,14640,1,4,6,4,0,3,5-Jul,red
481,Emmit,3169,32155,3,2,1,5,5,3.2,5-Jul,red
567,NY03100-307,3007,54543,5,4,5,4,3,4.2,5-Jul,
423,MSU Line E3024,3008,65667,6,5,6,6,7,6,5-Jul,
572,NY01066-313,3010,44554,4,4,5,5,4,4.4,5-Jul,
507,NY01009-143,3017,45454,4,5,4,5,4,4.4,5-Jul,
490,NY03015-108,3018,44634,4,4,6,3,4,4.2,5-Jul,
108,94035,3020,65544,6,5,5,4,4,4.8,5-Jul,
492,NY01067-113,3022,32,0,0,0,3,2,1,5-Jul,
290,Ava,3023,30252,3,0,2,5,2,2.4,5-Jul,
Rich,Richland,3024,2224,0,2,2,2,4,2,5-Jul,
244,99012,3025,45554,4,5,5,5,4,4.6,5-Jul,
385,NY03015,3029,25454,2,5,4,5,4,4,5-Jul,
412,NY07022-149,3035,55153,5,5,1,5,3,3.8,5-Jul,
580,NY03082-336,3037,23443,2,3,4,4,3,3.2,5-Jul,
Jen,Jensen,3039,250401,2,5,0,4,0,2.2,5-Jul,
155,94025,3040,13534,1,3,5,3,4,3.2,5-Jul,
505,NY01020-141,3041,34404,3,4,4,0,4,3,5-Jul,
529,NY03015-203,3043,41545,4,1,5,4,5,3.8,5-Jul,
586,99046-357,3044,31335,3,1,3,3,5,3,5-Jul,24535 duplicate
Cald,Caledonia,3045,57656,5,7,6,5,6,5.8,5-Jul,
190,94024,3046,1454,0,1,4,5,4,2.8,5-Jul,
555,NY03100-266,3053,57741,5,7,7,4,1,4.8,5-Jul,
419,MSU Line E5011B,3054,63667,6,3,6,6,7,5.6,5-Jul,
Cald,Caledonia,3057,87686,8,7,6,8,6,7,5-Jul,
510,NY03093&94-150,3062,66555,6,6,5,5,5,5.4,5-Jul,
503,NY99055-135,3068,65655,6,5,6,5,5,5.4,5-Jul,
414,NY07028-151,3071,68776,6,8,7,7,6,6.8,5-Jul,
173,96052,3072,55444,5,5,4,4,4,4.4,5-Jul,
428,TW528-001,3091,55434,5,5,4,3,4,4.2,5-Jul,
405,NY07014-141,3095,60666,6,0,6,6,6,4.8,5-Jul,
552,NY99028-251,3097,53465,5,3,4,6,5,4.6,5-Jul,
545,NY01005-235,3099,65345,6,5,3,4,5,4.6,5-Jul,
Jen,Jensen,3101,43010,4,3,0,1,0,1.6,5-Jul,
64,W105-129,3102,67356,6,7,3,5,6,5.4,5-Jul, in red set
530,NY99069-204,3104,34444,3,4,4,4,4,3.8,5-Jul,
Rich,Richland,3106,65665,6,5,6,6,5,5.6,5-Jul,
541,NY01002-227,3107,75222,7,5,2,2,2,3.6,5-Jul,
539,NY03100-225,3108,67655,6,7,6,5,5,5.8,5-Jul,
404,NY07013-140,3109,34254,3,4,2,5,4,3.6,5-Jul,
579,NY99028-334,3121,73671,7,3,6,7,1,4.8,5-Jul,
496,NY01066-118,3125,47565,4,7,5,6,5,5.4,5-Jul,
564,NY01003-287,3129,43244,4,3,2,4,4,3.4,5-Jul,
546,97083-236,3131,46455,4,6,4,5,5,4.8,5-Jul,
526,NY99028-199,3133,44455,4,4,4,5,5,4.4,5-Jul,
Jen,Jensen,3146,44314,4,4,3,1,4,3.2,5-Jul,
523,NY03093&94-190,3147,66787,6,6,7,8,7,6.8,5-Jul,
495,NY99049-117,3152,55454,5,5,4,5,4,4.6,5-Jul,
403,NY07012-139,3154,34423,3,4,4,2,3,3.2,5-Jul,
427,TW531-003,3156,40223,4,0,2,2,3,2.2,5-Jul,
421,MSU Line E5038,3157,51545,5,1,5,4,5,4,5-Jul,
145,94052,3158,44454,4,4,4,5,4,4.2,5-Jul,
389,NY03084,3163,1303,0,1,3,0,3,1.4,5-Jul,
548,NY99069-240,3164,54345,5,4,3,4,5,4.2,5-Jul,
Cald,Caledonia,3165,65688,6,5,6,8,8,6.6,5-Jul,
588,NY03015-361,3172,55655,5,5,6,5,5,5.2,5-Jul,
578,NY99069-328,3173,31323,3,1,3,2,3,2.4,5-Jul,
406,NY07015-142,3174,74565,7,4,5,6,5,5.4,5-Jul,
560,NY01018-276,3176,15255,1,5,2,5,5,3.6,5-Jul,
576,NY99034-324,3178,14144,1,4,1,4,4,2.8,5-Jul,
513,NY03009-159,3179,44373,4,4,3,7,3,4.2,5-Jul,
581,NY99069-345,3180,0,0,0,0,0,0,0,5-Jul,
582,NY03015-346,3184,55524,5,5,5,2,4,4.2,5-Jul,
383,99068,3185,5453,0,5,4,5,3,3.4,5-Jul,
569,NY99069-310,3190,45544,4,5,5,4,4,4.4,5-Jul,
372,99053,3197,403,0,0,4,0,3,1.4,5-Jul,
522,NY03015-185,3212,64655,6,4,6,5,5,5.2,5-Jul,
Cald,Caledonia,3213,56646,5,6,6,4,6,5.4,5-Jul,
520,99069-179,3214,1563,0,1,5,6,3,3,5-Jul,
568,NY03015-308,3215,15655,1,5,6,5,5,4.4,5-Jul,
Jen,Jensen,3216,44400,4,4,4,0,0,2.4,5-Jul,
587,NY03015-360,3219,53556,5,3,5,5,6,4.8,5-Jul,
75,94025,3220,34130,3,4,1,3,0,2.2,5-Jul,
Rich,Richland,3221,65665,6,5,6,6,5,5.6,5-Jul,
208,96148,3222,55557,5,5,5,5,7,5.4,5-Jul,
71,W105-57,3227,30116,3,0,1,1,6,2.2,5-Jul,
585,NY01005-356,3228,42504,4,2,5,0,4,3,5-Jul,
355,99017,3229,45543,4,5,5,4,3,4.2,5-Jul,
392,NY03086,3230,55562,5,5,5,6,2,4.6,5-Jul,
Rich,Richland,3232,51557,5,1,5,5,7,4.6,5-Jul,
279,NYW103-187-9166,3233,13433,1,3,4,3,3,2.8,5-Jul,
514,99069-160,3234,44544,4,4,5,4,4,4.2,5-Jul,
500,NY99049-128,3236,44444,4,4,4,4,4,4,5-Jul,
424,MSU Line E5028,3237,23323,2,3,3,2,3,2.6,5-Jul,
418,MSU Line E5011A,3244,68788,6,8,7,8,8,7.4,5-Jul, in red set
Rich,Richland,3276,54765,5,4,7,6,5,5.4,5-Jul,
499,NY99049-126,3277,44445,4,4,4,4,5,4.2,5-Jul,
226,96016,3280,14651,1,4,6,5,1,3.4,5-Jul,
252,97083,3281,4404,0,4,4,0,4,2.4,5-Jul,
Cald,Caledonia,3282,55764,5,5,7,6,4,5.4,5-Jul,
129,96067,3283,44634,4,4,6,3,4,4.2,5-Jul,
70,94025,3284,34443,3,4,4,4,3,3.6,5-Jul,
380,99066,3285,42445,4,2,4,4,5,3.8,5-Jul,
78,94025,3286,12402,1,2,4,0,2,1.8,5-Jul,
413,NY07023-150,3288,55675,5,5,6,7,5,5.6,5-Jul,
515,NY99056-161,3289,34334,3,4,3,3,4,3.4,5-Jul,
76,W105-116,3291,44112,4,4,1,1,2,2.4,5-Jul,
164,94052,3293,13433,1,3,4,3,3,2.8,5-Jul,
524,"NY03102,3,4-192",3296,53-45,5,3,-,4,5,4.3,5-Jul,
353,99017,3300,52344,5,2,3,4,4,3.6,5-Jul,
219,96043,3302,33335,3,3,3,3,5,3.4,5-Jul,
543,NY03010-229,3303,3413-,3,4,1,3,-,2.8,5-Jul,
,,,,,,,,,,,
,This is corrected for the planting error,,,,,,,,,,
,Need to confirm sources 602 and 603,,,,,,,,,,
